Age,PC,PN,PCE,TI,AgexTI
-1.047,-0.431,0.547,0.334,0.228,-0.238
0.081,0.868,0.572,0.258,0.698,0.057
1.209,0.975,0.547,0.307,0.77,0.932
0.081,0.193,0.297,0.269,0.132,0.011
0.081,0.584,0.327,0.296,0.18,0.015
0.081,0.287,0.823,0.269,0.216,0.018
0.081,-0.387,-1.461,0.678,0.715,0.058
1.209,0.294,0.53,0.64,0.174,0.211
-1.047,0.874,0.306,0.667,0.71,-0.743
-1.047,-0.097,0.621,0.64,0.99,-1.036
1.209,0.584,0.814,0.64,0.191,0.231
-1.047,0.918,-0.531,0.64,1.282,-1.342
0.081,0.874,-0.147,0.678,0.704,0.057
-1.047,1.549,0.551,0.667,1.234,-1.292
0.081,0.918,0.125,0.667,0.728,0.059
3.466,-1.396,-1.25,0.678,1.008,3.492
-1.047,1.215,0.318,0.667,0.734,-0.769
-1.047,0.874,0.107,0.667,-0.137,0.143
0.081,1.258,0.762,0.667,0.996,0.081
0.081,1.259,0.336,0.667,0.99,0.08
1.209,0.294,0.306,0.678,0.71,0.858
0.081,1.215,0.823,0.667,1.002,0.081
-1.047,-0.097,0.582,0.667,0.436,-0.456
0.081,-0.431,-0.169,0.667,0.197,0.016
0.081,0.294,0.802,0.678,-0.595,-0.048
-1.047,-0.431,0.275,0.678,0.954,-0.999
0.081,-0.09,-0.358,0.667,-0.339,-0.027
0.081,1.208,0.823,0.678,0.68,0.055
1.209,0.874,0.582,0.64,0.978,1.183
-1.047,-1.011,0.802,0.667,0.734,-0.769
-1.047,-1.055,0.055,0.678,0.168,-0.176
1.209,0.874,0.582,0.678,0.424,0.513
1.209,-0.047,0.53,0.64,-0.595,-0.719
0.081,0.585,0.56,1.011,0.71,0.058
-1.047,0.874,-2.413,1.049,0.192,-0.201
0.081,0.25,1.026,1.011,0.746,0.061
-1.047,-0.387,-0.129,1.011,0.99,-1.036
0.081,0.918,0.582,1.011,0.99,0.08
0.081,0.634,0.784,1.011,1.008,0.082
1.209,-0.431,-0.169,1.049,0.715,0.865
-1.047,0.584,0.784,1.011,0.734,-0.769
0.081,0.874,0.784,1.022,1.002,0.081
-1.047,1.599,-2.478,1.011,0.954,-0.999
1.209,0.248,0.802,1.022,0.71,0.858
0.081,0.628,1.004,1.011,0.143,0.012
-1.047,0.634,0.802,1.049,0.68,-0.712
-1.047,0.585,0.508,1.011,0.496,-0.519
0.081,0.924,1.004,1.011,0.715,0.058
-1.047,0.874,1.258,1.011,0.424,-0.444
-1.047,-0.09,0.517,1.022,0.43,-0.45
0.081,1.889,-0.595,1.393,1.27,0.103
0.081,0.584,1.004,1.393,1.526,0.124
-1.047,0.538,0.771,1.393,0.454,-0.475
0.081,0.25,-0.159,-0.085,0.698,0.057
-1.047,-0.387,0.53,-0.048,0.174,-0.182
0.081,0.634,1.004,-0.048,0.752,0.061
-1.047,-0.381,-1.758,-0.048,-0.065,0.068
0.081,0.585,0.379,-0.075,0.722,0.059
-1.047,0.294,-0.117,-0.075,-0.916,0.96
1.209,1.214,0.802,0.324,0.704,0.851
0.081,0.534,-0.564,0.307,0.173,0.014
-1.047,0.975,0.591,0.286,0.77,-0.807
0.081,-0.103,0.508,0.324,0.209,0.017
0.081,0.881,0.134,0.269,0.174,0.014
0.081,0.874,0.572,0.64,0.18,0.015
0.081,0.199,0.53,0.678,-0.142,-0.012
2.338,0.199,-0.129,0.678,0.954,2.23
1.209,0.916,-0.332,0.667,-0.13,-0.157
0.081,1.259,-0.147,0.64,0.96,0.078
-1.047,-0.04,0.762,0.678,0.728,-0.762
0.081,-0.431,0.542,0.678,0.686,0.056
2.338,0.294,0.56,0.667,1.026,2.399
0.081,0.634,1.004,0.678,0.71,0.058
0.081,0.918,0.784,0.667,0.99,0.08
-1.047,0.634,0.306,0.678,0.477,-0.5
3.466,-0.431,0.53,0.678,1.026,3.556
