Age,AgexTI1,AgexTI2,AgexTI3,AgexTI4,AgexTI5,PCE1,PCE2,PCE3,PCE4,PC1,PC2,PC3,PC4,PN1,PN2,PN3,PN4,TI1,TI2,TI3,TI4,TI5
0.081,-0.206,-0.086,-0.177,-0.215,-0.346,-0.895,-3.146,-0.896,-1.532,0.59,-0.623,0.404,0.505,0.197,-1.275,-0.496,-2.86,-1.068,0.022,-0.848,0.211,-1.785
-1.047,1.076,-0.114,0.836,1.724,0.693,-1.947,-1.407,-0.896,-1.532,-1.581,-1.624,-0.647,-0.565,0.197,0.341,-0.496,-1.268,-1.068,0.022,-0.848,-1.833,-0.81
-1.047,1.076,-0.114,0.836,1.724,0.693,-0.895,-0.538,-0.896,-1.532,-1.581,0.379,-0.647,-0.565,-0.678,-0.467,0.26,-0.473,-1.068,0.022,-0.848,-1.833,-0.81
0.081,-0.206,-0.086,-0.177,-0.384,-0.263,-0.895,-1.407,-0.896,-0.584,-1.581,-1.624,-1.698,-0.565,-0.678,-0.467,-0.496,-1.268,-1.068,0.022,-0.848,-1.833,-0.81
0.081,-0.306,-0.086,-0.267,-0.215,-0.346,0.158,-0.538,0.114,-0.584,-1.581,0.379,-0.647,0.505,0.197,-2.083,0.26,-1.268,-2.222,0.022,-1.896,0.211,-1.785
0.081,-0.106,-0.357,-0.087,-0.384,-0.263,0.158,-0.538,0.114,-0.584,0.59,-2.625,-0.647,-2.704,0.197,-2.083,-0.496,-2.064,0.087,-3.041,0.2,-1.833,-0.81
-1.047,1.076,2.214,0.836,-0.457,0.693,-0.895,-0.538,-0.896,-0.584,0.59,-0.623,-1.698,-0.565,-0.678,-1.275,-0.496,0.323,-1.068,-2.02,-0.848,0.211,-0.81
0.081,-0.206,-0.176,-0.267,-0.299,-0.346,0.158,-0.538,-0.896,-0.584,0.59,0.379,-0.647,-0.565,0.197,-0.467,1.016,-0.473,-1.068,-0.999,-1.896,-0.811,-1.785
1.209,1.484,-1.403,0.152,-1.232,-1.22,-0.895,-0.538,-0.896,-0.584,-0.495,-1.624,-0.647,-0.565,-0.678,0.341,-0.496,-0.473,1.241,-0.999,0.2,-0.811,-0.81
-1.047,1.076,1.05,0.836,1.724,2.829,0.158,-0.538,0.114,-1.532,-0.495,-0.623,-1.698,-1.634,0.197,0.341,0.26,0.323,-1.068,-0.999,-0.848,-1.833,-2.759
0.081,-0.007,-0.176,-0.087,-0.215,-0.263,1.211,0.331,-0.896,-1.532,0.59,-0.623,1.455,-0.565,0.197,0.341,-0.496,-0.473,1.241,-0.999,0.2,0.211,-0.81
-1.047,1.076,2.214,1.997,2.815,2.829,-0.895,-2.276,-0.896,-0.584,-0.495,-1.624,-1.698,-0.565,-0.678,-0.467,-0.496,-0.473,-1.068,-2.02,-1.896,-2.855,-2.759
-1.047,1.076,1.05,1.997,0.634,2.829,-1.947,-1.407,0.114,-0.584,-1.581,0.379,-0.647,-0.565,0.197,-0.467,0.26,0.323,-1.068,-0.999,-1.896,-0.811,-2.759
0.081,-0.007,-0.176,-0.267,-0.215,-0.263,-0.895,-0.538,-0.896,0.365,0.59,-1.624,-1.698,0.505,-2.429,-0.467,0.26,-1.268,1.241,-0.999,-1.896,0.211,-0.81
0.081,-0.206,-0.176,-0.087,-0.215,-0.098,-1.947,-0.538,-1.906,0.365,-1.581,-1.624,-1.698,-0.565,-3.304,-2.891,-3.519,-3.656,-1.068,-0.999,0.2,0.211,1.139
0.081,-0.206,-0.176,-0.087,-0.299,-0.263,-0.895,-0.538,-0.896,-0.584,-0.495,-1.624,-0.647,-0.565,-1.553,-1.275,-0.496,-1.268,-1.068,-0.999,0.2,-0.811,-0.81
